tweet	sentiment
      Picture of a truck that broke down at Meiran turning this morning, it covered 70% of the road but repair is expected to commence soon. Our men are on ground to ease traffic gridlock.       	Negative
        The earlier reported broken down High Capacity at Apostolic inw Ojota is now off the road.   Traffic is better now, while Men are strategically located.        	Positive
Mobil to Bogije is good. It's a moving traffic from Bogije, Franjend, Alatunse due to ongoing construction, coupled with counterflow.  Eleko to T-junction is good to go. Return journey from T-junction towards Eleko to Baba Adisa is good.	Positive
Ikeja underneath the bridge is a moving traffic. The return journey from Ikeja underneath the bridge is good to go. Movement from Hacco, Akora Estate, and Aromire on Adeniyi Jones is busy.	Positive
There are no impediments on these roads at this hour.            	Neutral
Omole inward Excellence is good aside alternation Inward Ogba is equally good aside commercial activities and Influx into Thomas salako.  Ogba inward Caterpillar, Odo eran to Agege is good Wemco inward Odo eran is steady due to high influx inward Agege	Positive
 go likewise Mubostic inward Canoe to Chivita to connect Lukmon Atobajeun to link Hollandia way back to Kolawole shonibare is still appreciable to navigate back to Osolo way and Airport road.         	Neutral
      Ajasa command ekoro and it's adjoining location is having a steady movement inward agbelekale from ekoro down to Ile iwe is good to go.  Ile iwe down to command is good but there is a delay at intersection	Positive
        Movement is slow around Iyana ipaja under bridge from Pleasure. Movement to Go-ye is good.  Return journey is a slow movement towards Iyana Ipaja under bridge, further movement to Pleasure is good.	Positive
Ilubirin inward cater bridge is good, sangross inward sura to link simpson bridge is good.  No record of impediment for now.            	Positive
        Better Movement from Olopomeji and Gbagada Express toward Iyana-oworo and Ilaje . Appreciable movement from Ilaje to Unilag Water Front. While Slow and Steady movement frm Unilag Water front to Adekunle inter-change.	Positive
      Gbagada bridge and Olopomeji connecting Carwash is a busy moving traffic.  Carwash inward Ifako, Ogudu down to NNPC filling station is busy.       	Positive
steady movement  to River valley, Isheri Olowora.   Officers are on ground doing the needful           	Positive
Ahmadu Bello Way is totally closed for vehicular movement. All motorist connecting Obalende , CMS , 3rd Mainland Bridge etc are to go thru Falomo via Awolowo Rd or Osborne Rd.      	Negative
     Traffic is good from Olopomeji approaching the Entry point of the Third Mainland Bridge where it is a bit slow.  Traffic is very good inw Ilaje then slow approaching Unilag Waterfront thru Adekunle and Adeniji.       	Positive
Kola connecting Ajegunle is looking good with a better return journey back to abule egba towards ilepo.  Officers are on ground still doing the needful.           	Positive
      Boundary roundabout through Mobil road to connect Marine Beach intersection is good to go.  Return journey from Marine bridge inward Ajegunle is also good to go.  Ijora Oloopa through the high bridge inward Total is steady.	Positive
Daleko bridge inward Palm avenue junction is slow moving traffic but the return journey is good.      	Positive
     A LAWMA truck developed a  propeller problem inward Cement. The Driver is busy on the breakdown trying for a repair. We are working to ensure the truck gets off the road soon. 	Positive
Slow approaching VIS due to fuel queue and massive turning at VIS. Better movement inward Omole junction to connect Lateef jakande road. Omole inward Excellence, Ogba, Odo-eran is good aside alternations. Odoeran corridor is appreciable despite  fuel queue at Mobil.	Positive
      Busy movement from Ladipo inward PWD, likewise inward Airport bus stop towards National National inward Ikeja Along towards Ajayi farm is also busy due to ongoing construction work,	Positive
Falomo roundabout connecting omo osagie on Awolowo road is good to go while it is an appreciable movement towards keffi.            	Positive
      Movement from Sabo Intersection enroute Onimalu inward low-cost housing Estate down to Itamaga is gtg, likewise the return journey. Vehicular movement from Itamaga Intersection connecting Lasustech third gate inward Maya, Adamo,...	Negative
Backlog from Chisco inward Ajah is beyond Ikate while inward Lekki is beyond Igbo efon for now.        	Neutral
      Traffic is receding on the Third Mainland Bridge towards Adekunle.  Traffic is s till quite sluggish inw Adekunle and Adeniji.        	Neutral
Return journey from Express and Alagba outward to Iyana-Ipaja roundabout, Alagutan, Alimosho, and Moshalasi is very good to go.  Pleasure inward Danco is very gtg, moving traffic from Danco to Iyana-Ipaja overhead bridge, from there to Dopemu is faster moving traffic.	Positive
      Backlog of traffic has gotten  beyond Airport turning from Ikeja Along, due to ongoing road rehabilitation. Meanwhile, movement from Ikeja Along inward Ajayi Farms is steady, due to alternation delays.	Negative
Kilo inward Masha down to Shitta is good but approaching Masha under bridge is busy due to alternation.  Ogunlana drive thru Lawanson Road is good but approaching Lawanson turning is slow due to market activities.      	Positive
Ijora sifax inward Ijora bridge is having a lane occupied by tankers as well while a lane is available but busy inward Total bridge likewise inward Ijora 7up roundabout.  Badia/Gaskiya road is busy. Total bridge inward Ijora olopa is slow.	Positive
Abule Taylor connecting Hammadiya, Ijaye, Kola to Ajegunle is good aside slow approaching Abule Taylor and Kola.       	Positive
Free flow on Broad Street from General Hospital toward Freedom park, First Baptist church, Book Shop House and Tinubu Square. Further movement toward Apongbon is good.         	Positive
Our officers are working to ensure this does not result into severe traffic situation.        	Neutral
Inw journey Pencinema underneath the bridge experience has slow movement from Odejobi upward, return is gtg.	Negative
     Pleasure to Iyana ipaja Ubridge to Go-ye is good to go.  Return journey is slow approaching Iyana ipaja bridge, but good towards Pleasure.  Alagba, Iyana ipaja round about is slow,	Positive
     Good Movement frm Adekunle inter-change onward Journey Iyanaworo enroute Olopomeji and Gbagada Express Way down to Charly Boy.      	Positive
...Check Point is looking good. Return journey is good to Tipper Garage, busy towards Iyana Ira and Beno. Okoko main carriage way is busy. Volks is good.  Volks proper is slightly busy.  Baracks to AbuleAdo is good.	Positive
Osborne road enroute Emergency point to connect Ilubirin is good to go, Ilubirin down to Cater bridge is good to go, good movement from High Court enroute Sangrouse inward Sura ascending Simpson bridge.         	Positive
Danco filling station in-between Ijaye and Meiran has now been moved off the walkway.  Meiran is slow due to alternation delay.  Adura, Kola connecting Alakuko to Ajegunle is looking appreciable.	Negative
       Having Better movement from Otedola bridge inwards Secretariat, Conoil filling station and Emergency, also good movement from Toll gate, Motorway-7up, Ojota bridge, Chinatown inwards Alapere, O	Positive
Ogunlana Drive to Masha r'abt is good while Karounwi to Kilo down to Masha likewise Adelabu to Masha r'abt connecting Onilegogoro down to Stadium is a moving traffic.         	Positive
    Good from Bolade Oshodi inw PWD, towards Airport b/stop is getting busy due to commercial activities. Good movement from National towards Ikeja Along likewise Ajayi Farm. 	Positive
the traffic light at Lekki intersection.  Appreciable movement  immediately  after Lekki intersection  enroute SandFill , Civic center  connecting  Law school stretch  down to bonny-camp enroute mekwen bridge  is good to go.	Positive
Approaching Adefemi is busy due to alternation. Inward Church round about is steady, inward Oluwaga is steady but approaching Amule is slow due to high influx and bus stop activities at Megida. Movement inward Ayobo round about is better.	Positive
      Aswani junction inward Asa afariogun junction is moving steadily due to alternation Connecting 7 and 8 is slow due to high influx and alternation  Ajao gate is slightly busy  Apakun inward Airport is good in and out	Positive
 is slow moving traffic, Onikan bridge inward CMS bridge to connect uba is good.   Return Journey, Apogbon bridge descending CMS by Outer marina down to Nitel intersection is good, State house inward McWen bridge down to Bonny camp is as slow moving traffic.	Positive
                                                                                                                                      Liverpool Bridge to Coconut is okay towards Trinity, Sunrise, Mtn, Berger to Otto wharf	Positive
Chemist inward journey to pako is good but the return journey is a slow moving traffic.  The inner part of Ire Akari to Osolo road is a slow moving traffic likewise the return journey.	Positive
      A container laden truck has broken down with rear stud bearing issue on Gbagada bridge, inwards Car wash, Ifako.  Effect on traffic is minimal at this hour, however, effort towards evacuation has commenced.      	Negative
Movement around Oko is good but gets slightly busy around  Igbo-elerin.  Movement back to Agbara Custom check point good.  Lasu Iba  road is good.  Iyanaba u-turn is slightly busy.  Movement around Alaba International is good.        	Positive
      Good movement from Berger all through to Iyana Oworo, likewise the stretch on 3MB through Adekunle and Adeniji.  Adeniji inward Olowu through Obalende and Onikan bridge is also good	Positive
From Kosofe, Mile12, Owode Elede, Owode Onirin, Weigh Bridge, Irawo, Thomas Ajegunle to Odogun is gtg.         	Neutral
     Presently, traffic is busy from Airport turning inward Airport towards National although traffic is very much beyond Pwd.  Meanwhile it is a busy but steady traffic from National inward Ikeja along likewise towards Ajayi farm. 	Positive
The breakdown is not causing much traffic for now. More Updates shortly.           	Positive
     . Presently, traffic on the Third Mainland Bridge is slow from the entry point all the way thru Ilaje, Unilag Waterfront, Adekunle approaching Adeniji where it flows better inw Ilubirin.       	Positive
     Swipha  and its environ looks good. Akowonjo roundabout to Ogunlana junction inward Egbeda is good to go likewise the return journey back to Akowonjo roundabout.   Goye to Akinwowo and Alaguntan is ok, same as the return journey.  	Positive
     Busy traffic on Carter bridge inward journey to Eyin Eyo,  Ereko up to Balogun junction at the moment.  This is mainly occasioned by the high influx of both human and vehicular movements as well as the 	Positive
Lawschool, Civic center  Sandfield enroute Lekki and Marwa is fast   likwise the return journey.  Bonny camp connecting  McWen bridge is good to go.             	Positive
approaching Ile Zik due to traffic light alternation. Ile Zik inward National is busy due to early morning rush and queue from Conoil filling station. further movement from National down to Bolade Oshodi is still very good to go	Positive
It’s very slow on the return journey descending the Jubilee bridge enroute Odo eran. Wemco road is also still fair but moving gradually after Lascofis to connect Agidingbi.    	Positive
Chisco to Ikate  and Marwa is  moving fine. The return trip back to Ajah is also very fine.  Officers are on ground doing the needful. More updates shortly.           	Positive
      At the moment, it is a  good movement from Marwa to ikate but there is a traffic light delay for now.  Traffic at Ikate to chisco is building up while traffic from Chisco to Jakande is busy but a steady moving traffic due to the return	Positive
Inward and outward vehicular movement on College road is still very encouraging.      	Positive
Dr Nurudeen Olowopopo inward and outward is still good. Slight alternation delays at Civil Defence , Coca-Cola junction, and Radio intersection on Obafemi Awolowo Road.          	Positive
     Traffic from sabo roundabout inward itamaga is good to go while the return journey is equally appreciable but there is a little delay from sabo onimalu to connect sabo  roundabout due to the alternation.	Positive
      Movement from Pen Cinema to Fagba is good. Moving  inward Ishaga is equally good.  Movement  towards Toyin/Giwa  from Iju-Ishaga Roundabout is a steady flow.  Movement outward Iju is slightly busy  up to Alamutu. 	Positive
Cele egbe to Synagogue is also good  Oju odo towards Ikotun intersection is slow due to commercial activities  Ikotun intersection towards Old garage is   moving steadily  Mobostic and NNPC depot is good The return journey from Canoe is also good.	Positive
        Boundary roundabout is busy as a result of the activities of the commercial buses, personnel are on ground managing the situation.  Boundary roundabout through Mobil road inward Marine Beach intersection is good to go.	Positive
     The earlier reported broken truck at Ijaiye, inward Toll Gate has now been removed, while effort is still ongoing to evacuate the other broken container laden truck from the corridor.        	Negative
        Dr.Nurudeen Olowopopo to Lands, Alausa intersection is good  Connecting Mobalaji Johnson avenue from old toll-gate towards 7up gate, billings way junction down to Alausa intersection is still good,	Positive
      Slow movement towards Iyana Ipaja under bridge from Danco and better movement to Go-ye.  Return journey is a slow movement towards Iyana Ipaja under bridge. and good movement to Pleasure.  Alagba towards Iyana Ipaja round about is a slow movement.	Positive
      Busy movement from Otedola inward 2nd Oando due to fuel queue, better movement from there inward Kara. Kara inward Berger oke is steady Better movement from there inward Otedola	Positive
The return journey from Coca-Cola junction and Daily Times is good.  Approaching Mobil , Cadbury, Lakayana and Wempco junction is busy for now.  Wempco to Omole gate and Omole r'abt is good.       	Positive
Ascending &amp; descending Mile 12 bridge inward Kosofe to Iyana School is gtg.  RJ from Iyana School to Mile 12 is gtg. Ascending &amp; descending Mile 12 bridge inward Owode Elede to Owode Onirin to Weigh bridge to Idera to Irawo to Thomas to Ajegunle to Odo Ogun is gtg.  	Neutral
Movement to Mosalasi is good.  Proceeding to Gate and Baruwa U-turn is a slow movement,, while  movement gets better towards Opeki.  Return journey is a slow movement approachng Baruwa U-turn and Gate, however movement to Mosalasi and Alagunta is good.	Positive
Alaguntan road, Akiwowo, Alimosho road to connect Moshalasi inward and outward are in order.  No record of impediment for now.            	Neutral
The truck owner is making effort to fix it while our men are on ground doing the needful. Patience is needed from road users along the axis.    	Neutral
short fuel queues the dispensing Filling Stations along the road.  However, officers are on ground monitoring traffic adequately.  The traffic within Sheraton link bridge and Opebi-Welfare link bridge is calm.  The traffic signal lights are functioning at their various	Positive
Eleganza to Ajibade babatola enroute Canoe to connect NNPC road by Mubostic is slow due to high influx of vehicles coupled with alternation at Canoe roundabout   Movement from Mubostic inward Canoe is steady but slow at Canoe roundabout due to alternation,	Negative
Ganiyu Smith road and Bamgbose street as well as Oshodi and Freeman are good to navigate through to connect other inner corridors.    	Positive
     Fast movement along Marina Road from UBA down to Cathedral. Good connecting inner Marina from outer Marina.  Good also toward NITEL intersection. Free on Force Road toward TBS.       	Positive
...Olowogbowo is in good shape. Leventis ascending Elegbata bridge towards Ebute Ero enroute Police Post is good.    	Positive
Sheraton link bridge inward Salvation , Adebola House. Toyin r'abt and Allen avenue down to Allen intersection is busy but return journey is good. Aromire Road is very busy for now.       	Positive
Inner part of Nwachukwu Drive to connect Cele is slow likewise the return journey also.  Ago Palace Road both inward and outward Apple junction is slow.  Chemist inward Pako is good but the return journey is slow.       	Negative
     Breakdown report of a long truck with clutch issue, the truck broke down few mins away from Amala junction.  Movement towards Ayodele Medical Center (AMC) on the fast lane. For now, movement on  Jonathan Coker is good to go. 	Positive
Descending to Ikorodu road is good on the service lane.  Anthony inward Idiroko is good.  Idiroko inward Odoyalaro to New Garage is slow.  New Garage inward Ojota is good.   Ojota inward Demurin is good.  Demurin inward Ile Iwe is slow due to bus stop activities.	Positive
      A broken down Honda car at Ilepo inward Iyana Ipaja is currently affecting the flow of traffic with resultant backlog reaching FATGBEMS filling Station.  However, effort is currently being made to get it away from the corridor.     	Negative
      Traffic is a lot better leaving NNPC Irawo inw Ajegunle, Odogun, Itowolo, Majidun approaching Ogolonto.  Traffic is gd inw Agric, Haruna approaching Benson where it is a bit slow inw Ikorodu R/Abt.       	Positive
      Traffic within this zone e is good to go, Adekunle on third mainland bridge down to Adeniji and the return journey back to Adekunle is good.  Adeniji inward Obalende bridge down to CMS bridge to link UBA is in perfect shape, 	Positive
The rest of the journey from Ketu, Ojota down to Obanikoro and beyond is cool and calm.  Steady movement from Palmgroove inwards Fadeyi due to fuel queue from MRS filling station at Palmgroove and Total filling station at Fadeyi.	Positive
Itamaga down to Maya, Adamo, Imota to connect Agbowa both inward and outward is good.  The stretch of Itamaga to Ijede through Elepe and Igbodu in and out is good.  No impediment recorded.         	Positive
Wemco inward Odo eran to connect Agege is moving steadily due to high influx and alternations   The return trip from Odo eran back to Omole is good aside alternation delay	Positive
        A broken down tanker loaded with diesel at Moshalasi inw Toll gate with propeller related problem. The driver is waiting for mechanic to repair it while our officers are on scene doing the needful.       	Negative
    Steady movement from 5 Star enroute Aswani road by Emzor Pharmaceutical Bent down to Aswani junction and also to connect Osolo Way due to market activities. Slow movement from Aiye enroute Osolo Way down to Aswani market junction.	Negative
Okekoto inward and outward Oniwaya is good. Oniwaya road inward Dopemu is a good movement, return journey is a steady movement. Capitol road connecting is free flow of traffic, same on the return journey.	Positive
 return journey from Apogbon bridge descending CMS by outer Marina to link State House is good. Slow movement from Officers Mess inw McWen bridge down Bonny Camp. Good movement from Sandgrouse inw Sura to link Simpson Bridge. Obalende bridge and the stretch of I	Positive
Adekunle inter-change inward Iyana-oworo enroute Olopomeji and Gbagada Express is good.  Gbagada Express way inward Car wash is good.  Gbagada Express inward Oworoshoki is good.         	Positive
Movement  to Airport bus stop, Ikeja Along, Ajayi Farm is busy. Proceeding to Magoro, Cement is good but to Dopemu UBridge is slightly busy due to B/stop activities.  Moving to Adealu, Araromi is good but approaching IyanaIpaja under bridge is busy.	Positive
     Vehicular movement from Aye inward Aswani market junction is good (both inward and outward), towards Asa-afariogun junction is slightly busy due to high influx and alternation, Connecting 7&amp;8 is a steady moving traffic due to alternation…	Positive
Good movement towards Moshalasi, Gate, Baruwa U/turn and Opeki. Return journey is good down to Alagunta but slow movement approaching Iyana ipaja round about. Good movement enroute Alagba, Moshalasi approaching Egbeda intersection. slow towards Isheri round about.	Positive
State House is good but approaching Officers Mess is slow inward McWen bridge and Bonny Camp.  Faster movement from Obalende bridge and the stretch of Ilubirin inward Adeniji to connect Adekunle on 3MB.       	Positive
Traffic in Lagos still good presently.         The stretch from Kara thru Berger all the way to Alapere and Ifako and back is gd.  Ikorodu Garage thru Agric, Ogolonto, Mile 12 and Ketu is gd.      	Positive
     Movement from Oke-Afa to Jakande Gate is still good. Gate toward Jendol is slow due to commercial and b/stop activities. Immediately after Jendol is good towards NNPC junction. After NNPC junction is good inw Iyana-Ejigbo and Egbe bridge.	Positive
     Heavy duty equipment of HITECH Construction using the /Motorways/7-up Bus stop as a bay, hence, commercial buses using the Highway as a bus stop.  Men strategically located managing the situation.        	Negative
  Thank you for the feedback. You are probably right about the blame-shifting sometimes. Comments on our polls usually give more clarity beyond the options we provide. We always look forward to them.	Positive
      Traffic is gradually building up on Berger oke by the Old BRT station enroute Otedola due to morning influx, road demarcation and bus stop activities. Secretariat, Tollgate and Alapere moves rapidly. 	Negative
The Ajah return trip descending the Jubilee bridge is still slightly busy inwards VGC due to reduction in number of lanes, while it's fine all the way back to igbo efon where its busy but moving traffic inward Jakande.        	Positive
      Nitel inward Total is good to go likewise the return return journey back to abattoir is good to go.   Total inward Oke koto is good to go also the return journey is in good shape.  Oke koto inward Sofunde is good to go	Positive
    Lekki Phase 1 inward Jazz 38 is good, but slow approaching Jazz 38. Jazz 38 inward Mobalaji Johnson is slow. Mobalaji Johnson inward ELF bus stop, Ikate bus stop is good, but a slight delay at Ikate bus stop. Ikate bus stop inward Ilasan is good.	Positive
        Recovery of the Container, Trailer and remains of the bus still ongoing at the moment. Traffic s till heavy at the moment.   Necessary safety measures in place.        	Negative
Iganmu bridge inward Ijora sifax is moving steadily  Ijora sifax inward Ijora 7up roundabout is okay inward Badia gaskiya road                                  Total bridge connecting Ijora olopa is good  Ijora olopa inward Ijora oloye, High bridge moving steadily	Positive
Better movement from Isheri Olowora, River valley, Kosoko, NNPC.  Slow movement to VIS, Bovis filling station. Better movement to Grammar School.  Steady from Omole gate to Omole junction. Good movement to Excellence asides the  alternation.	Positive
6. connect their desired destinations.*  *While Motorists that are Onikan bound from Ozumba Mbadiwe and Bonny Camp are enjoined to make use of Falomo Bridge (Five Cowries Bridge) or Awolowo Road.*  The Transport Commissioner further stated that *Motorists from Awolowo Road…	Positive
"The convicted fake Lastma Officer was arraigned by the Lagos State Traffic Management Authority (LASTMA) on a 2-Count charges of ""Conduct likely to cause breach of peace"" and ""Impersonation"" before the court."	Negative
Movement from Hollandia way to eleganzer enroute Jesus house to connect osolo-way is a steady moving traffic.  No record of Impediment is free for now.           	Positive
     Vehicular movement from pako inward Ago roundabout is busy due to the alternation at the junction and evening rush while movement inward uwanchuku drive junction is moving as expected.	Negative
Obafemi Awolowo from Balogun bus stop toward Allen intersection is slow.  Traffic manager are at their various choke point doing the needful.         	Negative
Mubostic inward Canoe to Chivita to link Lukman Atobajeun to connect Hollandia Way to navigate back to Osolo Way and Airport Road is good.  No impediment sighted.         	Positive
           Traffic is gd from College by Ifako International thru Fadipe Rd to College by African Church Model College, to Estate, Idiagbon, Orimolade and Haruna.       	Neutral
Gd traffic from Ajilete inw College by Ifako International, thru Imola, Oyemeku approaching Odejobi, then a bit slow inw Pen Cinema.       	Negative
     Broken down Lawma Truck at the Corrona loop inward ikorodu road  Effect on traffic is still minimal for now. More updates shortly.             	Negative
Traffic is still gd leaving Iyana Ipaja U-Bridge inw Pako, Adealu, Dopemu, Cement approaching Mangoro where it is slow inw Ile Zik and Ikeja along.        	Negative
Return journey from Dopemu to Adealu, Araromi, Iyana-Ipaja Pedestrian bridge to Pleasure is faster moving traffic.         	Neutral
Traffic officers are at their various duty points doing the needful.           	Neutral
      Vehicular movement from 7&amp;8 inward Osolo-way down to Asa-afariogun intersection is steady,  Inward Aswani and Aye  is good Aye inward Aswani to Asa-afariogun intersection and 7&amp;8 is moving steadily,	Positive
The traffic at Allen Intersection have started building up as a  a result of the narrow lanes along Aromire Road.  This has affected the main Allen Avenue enroute Allen Intersection and Obafemi Awolowo Way (Balogun Bus-Stop inward journey Allen Intersection) specifically.	Negative
      A container laden truck broke down at Ebute police post intersection inward Ibeshe roundabout.  Effort is on to get it off the road. 	Negative
      Vehicular movement within our area of coverage is very appreciable  for now.  Although, we have tankers on the extreme right lane on total bridge navigating towards their various depots.	Positive
Free connecting inner Marina from outer Marina by CMS bstop. Further movement down to NITEL intersection is good. Good connecting Outer Marina by State House.  Free toward TBS from Flag Staff House.      	Positive
Agbowa down to Lasutech third gate inward itamaga T junction is encouraging.  No record of impediment for now.           	Negative
      Movement around Charity and Oja Oba intersections is busy.  In and out Social Club Rd is good.  Abule Egba MOBIL is still steadily moving.   The stretch of Abule Egba - Ajegunle corridor both inward and outward is appreciable.	Positive
Eleko to T-junction is in good shape.  The return journey from T-junction towards Eleko is fast approaching.  Eleko towards Awoyaya, Ogidan towards Adesanya to under bridge is good.  No record of Impediment at the moment.	Positive
     A PMS laden tanker has broken down due to a faulty Axle at Agunlejika inw Oshodi, taking up a lane.  Effort is on to fix it and get it moving.         	Negative
      Slow movement from Otedola to 2nd oando due to fuel queue at Enyo and oando filling stations. Better movement inward Kara. Good movement inward  Lagos from Kara to Otedola	Positive
    Pleasure towards Iyana Ipaja under bridge down to Goye in and out is good for now. Alagba  approaching Iyana ipaja R/abt is slow.  Good movement to Moshalasi, Gate, Baruwa U/turn and Opeki.  Return journey is good down to Alagunta, 	Positive
   Traffic from Iyana Dopemu inward Cement is good to go, slightly busy approaching Cement due to commercial vehicle activities. There’s better movement from Cement through Mangoro to Ile Zik.	Positive
Ikanla oju odo to Adefemi is good,  Church round about down to Ayobo round about is good for now Ishefun road inward Megida down to Amule is busy but free inward Oluwaga to Church round about.        	Positive
      Good  movement along  Marina road from UBA toward Cathedral apart from alternation delay.  Good connecting inner Marina from outer Marina by CMS bus stop.  Further movement toward NITEL intersection is good.	Positive
     Pictures of a lone accident of a loaded tanker ascending Ojuelegba bridge inward Fadeyi, a lane is availabl for vehiclular flow as we awaits a tow truck for its removal. Backlog of traffic is almost at Alaka.     	Neutral
Tinubu square connecting Nnamdi Azikiwe street enroute Tom Jones intersection equally is good for now, while traffic from Oyebanji roundabout connecting Adeniji Adele road through Oba's palace and Police  post is very much ok as well.	Positive
       Calm situation in and out of Carter bridge enroute Eyin Eyo connecting Balogun street, while traffic from Tinubu square connecting Nnamdi Azikiwe street enroute Tom Jones intersection equally good for now.	Positive
     Report of a loaded truck at casso inward toll gate with middle tyres bursted, the driver nor motor boy can not be sighted at the moment. structure is 	Neutral
Connecting Eko bridge from Alaka intersection; a lane is available for movement due to the one lane policy of the presence of tankers.  Alaka intersection through the service lanes inward Iponri down to Costain is still ok.       	Positive
Ogba inward Odoeran is equally good. Wemco In and out is also good. The return trip from Odoeran back to Omole is good aside alternation. omole inward Hotel is good.      	Positive
 to the narrowed path at N movement from National down to Bolade Oshodi is still very good to go likewise return journey on the entire stretch is still very much good to go.         	Positive
    Traffic inward and outward of third mainland bridge is very free. Iyana Oworo towards Ogudu and Alapere is also a rapid flow. Traffic moves gradually on Ojota bridge towards Tollgate due to massive turning at the Tollgate. Proceeding to Berger is faster.	Positive
      A loaded truck has broken down at Fagba intersection inw Fagba Bus stop, taking up a lane.  Effort is on to get it off the road.  Men strategically located.        	Negative
Traffic backlog is from IleIle on main carriage way inward Kosofe to Mile12 ubridge.   Motorists coming from Ikorodu inward Mile12 to Kosofe are not affected.        	Positive
     Report of a lone accident involving a Toyota Hilux at obalende bridge inward ilubirin with no casualty involved. It has a minimal effect on traffic for now. 	Negative
Upward Eko Atlantic to Eko Hotel is good but busy at the intersection due to alternation and commercial bus activities within the corridor. Ademola Adetokunbo is good.       	Positive
Moshalasi r/a inward Pako, GTB, Abesan estate roundabout, Estate gate, down to Abule Egun is good.  The return jurney from Abule Egun, to Abesan roundabout is a moving traffic, due to high influx.   Movement outward Akinogun, Moshalasi is steady, due to alternation delays.	Positive
     Traffic is slow on the service lane from Obanikoro thru Anthony to Maryland to Mobolaji Bank Anthony Way due to the queue at Total Petrol Station by NITEL.  Men on ground managing the situation.      	Negative
      Better Movement from Adekunle inter-change Onward Journey to Ilaje.  Slow movement from Ilaje to Iyana-oworo.  Appreciable movement from the  Exit of Iyana-oworo layby inward Olopomeji and Gbagada Express way.	Positive
We still have it busy on Adeniyi Jones from Allen intersection, Aromire, Akora Villa to Hacco is busy at this moment, nothing to worry about .  We equally have it busy on Dr Nurudeen to connect Otedola under bridge and  Japoul house for now due to the backlog from the	Positive
    Ojo road inw Boundary is good. Approaching Boundary roundabout is slow. Boundary roundabout thru Mobil road in and out of Marine Beach intersection is good. The stretch of Ijora Oloopa thru the High bridge inward Total is also good.	Positive
    Lagos Badagry Express way from Agbara Custom check point is good down to Tradefair. Tankers are by the service lane at AbuleAdo with no effect on Traffic for now. Return journey is also good back to IyanaIba, Okoko, Igbo-elerin down 	Positive
    Which areas specifically would you suggest improvements on and what improvements would they be?	Neutral
     Traffic is good to go from Iyana Dopemu inward Cement through Mangoro down to Ile Zik. Sule junction to connect Ile Zik and Ajayi farm is also good. Ajayi farm inward Ikeja Along moves steadily.	Positive
      An accident between a Tipper and a Corolla at Oba-Ssekunmade Jnctn, impeding traffic flow.  Effort is on to get them off the road. Men strategically located.         	Neutral
Descending Jubilee bridge towards Abule Egba is busy at the moment due to alternation delays and effect of fuel queue at MOBIL, however, our men are still on ground doing the needful.        	Negative
The stretch of Ilubirin inward Adeniji to connect Adekunle on 3rd Mainland bridge is good. Osborne Road inward Emergency point is good. Ilubirin to link Carter bridge is good. Sandgrouse inward Sura ascending Simpson bridge is good.      	Positive
     Construction work ongoing at Ajayi Farm inward Ile-zik causing a narrowed exit point of vehicles coming from PWD.  Backlog now approaching PWD, while Officers are on ground doing the needful.     	Neutral
